id;county;short_name;name;financing_number;financing_name;type;validity_id
1;Awesome Metal Chicken connecting;Mouse invoice circuit;enterprise;Distribut;Group Orchestrator;Planner;1
2;flexibility;Wooden Computers;Refined Concrete Gloves zero tolerance;Intellige;quantify;quantifying;2
3;deposit withdrawal;Engineer Toys grey;Bedfordshire Vanuatu;European ;Riel;Extended United Arab Emirates;3
4;turquoise syndicate Wooden;Sleek Handmade;tan;Unbranded;Yemeni Rial Minnesota flexibility;Cambridgeshire programming;4
5;payment hard drive;Mills Generic;cyan;Buckingha;Home Loan Account;Hong Kong Licensed Producer;5
6;Gorgeous Rubber Keyboard Industrial Supervisor;capability;Mauritius Rupee;neural;Metal structure;withdrawal Tactics Alaska;6
7;facilitate Usability;Principal Sausages;Cambridgeshire Cote d'Ivoire circuit;Home Loan;Saint Lucia Response;models mindshare open-source;7
8;Tasty Steel Computer iterate mint green;Credit Card Account cross-media program;Auto Loan Account Gourde US Dollar;SMS neura;1080p;Multi-tiered;8
9;leverage Netherlands Antilles USB;parse enable;Checking Account grey Borders;Illinois;AI bleeding-edge leverage;ubiquitous deposit Markets;9
10;Tunisia;Investor Trafficway Pennsylvania;Borders;Corporate;synthesize back up;Canadian Dollar;10
