id;indication;diagnosis_list;valid_from;valid_to;active_pupha_data
1;Gorgeous bricks-and-clicks;HDD olive;2020-09-18T02:54:01;2020-09-17T23:36:59;false
2;envisioneer Credit Card Account Dynamic;pink violet holistic;2020-09-17T14:53:21;2020-09-17T21:57:13;true
3;Books;payment PCI;2020-09-17T11:11:30;2020-09-17T20:31:23;true
4;robust Tennessee;Director THX;2020-09-17T16:22:17;2020-09-17T14:51:57;true
5;Handmade Borders;Money Market Account Lempira;2020-09-17T20:32:28;2020-09-18T07:51:09;false
6;Kroon;Hat;2020-09-17T12:00:19;2020-09-17T10:36:00;false
7;Alaska Re-engineered;navigating Handcrafted;2020-09-18T03:26:15;2020-09-17T22:48:40;false
8;bleeding-edge high-level;hard drive;2020-09-17T10:14:43;2020-09-18T00:05:12;false
9;Multi-tiered;Streamlined Forward robust;2020-09-18T07:10:38;2020-09-18T08:15:50;true
10;Solomon Islands Dollar Soft;Towels Corporate;2020-09-18T05:39:58;2020-09-18T00:59:14;true
