id;code;settlement;part;street;kind;range_type;range_lo;range_hi;district;validity_id
1;payme;Buckinghamshire;moderator Corporate;Jacobi Fords;partnerships Representative;NONE;71736;72692;responsive systems p;1
2;magne;copy;XSS generate Accounts;Savanah Road;Pants Representative Direct;EVEN;86425;66148;calculating;2
3;Advan;backing up bus Sleek;yellow Nuevo Sol Fish;Kling Street;Ghana Grocery Ball;INTERVAL;30987;98557;Station B2C salmon;3
4;synth;Soft granular Specialist;withdrawal Clothing Union;McCullough Road;Turnpike;NONE;83746;21446;open system Alley;4
5;alarm;View customer loyalty Generic Cotton Cheese;capacitor front-end;Runte Course;Principal SMS;ODD;41903;72550;Berkshire;5
6;Mount;Electronics;Buckinghamshire JSON payment;Pink Via;Court;ODD;15473;37;silver South Carolin;6
7;payme;user-centric;zero defect Savings Account Soft;Karlie Vista;Intelligent Frozen Soap invoice;NONE;28563;7425;Planner Connecticut ;7
8;Perso;compressing deposit;matrix;Willie Cliffs;Rustic;NONE;4127;29114;Associate;8
9;Bucki;Borders;system engine deposit;Stark Harbors;Fantastic Optional;ODD;47985;43076;Rwanda;9
10;itera;invoice Buckinghamshire wireless;Strategist;Cecil Port;ivory engineer;ALL;36399;41752;Direct;10
