id;product_id;master_book_id;name;package_description;ean_code;atc_code;brand;active_substance;potency;substance_amount_total;dose_in_package;substance_amount;dose_msm_unit;substance_msm_unit;package_size;package_msm_unit;daily_doze;daily_doze_msm_unit;dd_msm_unit_factor;days_of_therapy;consumer_price;gross_consumer_price;efficacy;old_name;oep_ttt;master_book_deleted;mbook_deleted_date;available;motivation_status;cost_effectivity_code;daily_therapy_cost;equivalence_group_id;old_subsidy_type;preferred_price_flag;pharmacy_flag;custom_made;medical_device_iso;producer_price;wholesale_price;vat_rate;army_prescription;public_supply;work_accident_prescr;extra_subsidy_prescr;medical_subsidy_prescr;substance_price;include_in_hc_2;prescription_type;medicine_type;medicine_status;normative;ogyi_id;norm_fix_group_id;extra_subsidy_fix_group_id;medical_subsidy_prescription_fix_group_id;dosage_mod;active_pupha_data
1;32167;microchip Borders Tactics;CSS CSS;virtual;envisioneer mode;USB Opti;Baby Strategist Associate;Analyst Cambridgeshire Vermont;North Dakota;8707;69612;88776;whiteboard Gibraltar Pound;hardware context-sensitive;73315;grow Cotton;35333;Maine reciprocal;98229;65402;69770;72748;Drive USB;navigate Handmade;deposit;false;2020-09-18T07:36:40;true;81800;21711;74691;30767;Croa;14504;bl;true;monitor customiz;6259;34970;67470;true;false;false;true;false;96596;93660;WITHOUT_PRESCRIPTION;WRAPPER;MODIFIED;true;54729;1137;91425;45255;azure architecture Palestinian Territory;true
2;79843;Fantastic Concrete Ball;Research Practical Concrete Computer Cheese;asymmetric Florida;Fish Rustic Meta;parse Un;orchid heuristic;online Internal cross-platform;Checking Account;72386;94456;35945;Checking Account Beauty;cross-platform Awesome Steel Pizza Cotton;44889;olive incubate frictionless;7891;Swaziland;36957;14461;22460;11848;payment Coordinator evolve;Assurance;virtual P;true;2020-09-18T07:18:11;false;78879;96162;4608;60255;pane;62340;Av;true;Gorgeous Rubber ;98665;33927;73270;true;true;false;false;false;5843;86069;INPATIENT_PRESCRIPTION;MEDICINE;MODIFIED;false;98961;18;67281;5478;SMTP;false
3;61605;Multi-tiered;Profit-focused;Expanded Land;partnerships;superstr;ADP Internal;Kansas copy HTTP;object-oriented;32469;6115;96140;fuchsia infrastructures function;Checking Account;6955;index Sleek Concrete Hat Chad;19367;Rubber;23819;19469;30028;30055;grow Interactions;Secured;Frozen;true;2020-09-18T05:37:03;false;36600;72884;75815;20399;Auto;83077;Co;false;migration system;93160;26978;78166;false;true;true;false;true;24494;29442;ONLY_WITH_PRESCRIPTION;IMMUN;MODIFIED;true;53982;4427;79946;70126;Electronics neural-net vortals;false
4;63783;deliver Montana;Tuna Investment Account magenta;navigate grey intuitive;Tasty synergize ;mindshar;Utah analyzer;matrix Credit Card Account;compressing Groves Handcrafted Steel Bacon;95759;9083;59113;Paradigm holistic;connect;55339;Ramp Towels;79635;Malawi;5603;10841;11617;3045;Executive;Walks Sierra Leone Handcrafted Concrete Chips;XSS;false;2020-09-17T10:18:23;false;83473;82468;16528;26244;Poun;67141;en;false;Ergonomic Harbor;36172;97734;10212;true;true;true;true;false;24542;66334;OUTPATIENT_PRESCRIPTION;MAKING_PRICE;DELETED;false;61883;64707;55202;46296;bandwidth Lebanon;false
5;45311;haptic;Configuration;Balanced;optical Practica;Rustic p;synthesize empowering Gorgeous Fresh Shoes;Fantastic deposit;PNG transmitter;81434;445;34287;invoice;calculating Bahraini Dinar;19756;fuchsia hacking multi-byte;275;Rubber;10697;91082;9488;54509;Borders Executive innovative;Cambridgeshire solid state;help-desk;true;2020-09-18T00:17:27;false;69321;82106;76033;78663;Bike;15904;br;false;asynchronous Mov;51751;24038;5260;true;true;true;false;true;77158;66061;INPATIENT_PRESCRIPTION;MAKING_PRICE;OUT_OF_SUBSIDY;true;40155;53443;70942;61043;Bahraini Dinar overriding;true
6;61127;models;parsing integrated SDR;Director;Plains Designer;Mill Gro;Practical Branding;quantify Interactions models;Haven;57753;20254;44258;AGP;indexing Fish projection;82402;Kansas Intelligent;90940;Orchestrator;29010;52911;94529;99633;Lead Centralized value-added;Frozen;withdrawa;false;2020-09-17T13:49:02;true;32395;39169;29750;59230;Beni;30994;fu;false;Synchronised inc;10646;21336;31910;true;false;true;false;false;73612;49301;OUTPATIENT_PRESCRIPTION;BASE_MATERIAL;MODIFIED;true;76874;29249;7314;52837;Clothing Electronics Security;true
7;58078;Borders;synthesizing Bedfordshire Metical;open system;Auto Loan Accoun;bricks-a;deposit Factors;Credit Card Account white;Sports calculating;75309;64880;1602;Uzbekistan Sum;Keyboard target Via;86235;User-friendly intermediate;36416;black Samoa Ecuador;54321;11088;39584;39582;Junctions AGP;blue;Steel Fro;false;2020-09-17T17:19:05;true;59805;78602;67366;59642;info;88793;Au;true;Checking Account;76086;10696;66522;false;false;false;true;true;66901;25017;INPATIENT_PRESCRIPTION;BASE_MATERIAL;MODIFIED;true;96774;56144;55634;59898;Assurance Senior optimizing;true
8;36177;Dynamic Trail;overriding;Buckinghamshire frame Quetzal;relationships Co;Maine or;Investment Account;synthesizing;Dynamic;14544;7386;80034;quantifying;Car extensible bypassing;25282;paradigms Extended;90377;Movies Graphic Interface;31535;48529;76871;68664;Tools withdrawal Ameliorated;hacking Investor;well-modu;true;2020-09-17T20:42:27;false;43898;24666;76466;90715;port;5643;Re;false;Accountability;6076;59612;30524;true;true;false;true;false;99424;6535;SPECIALIST_PRESCRIPTION;MAKING_PRICE;DELETED;true;94316;41650;13010;20455;Saint Lucia deposit;true
9;86885;Refined Steel Chips;Cook Islands;black;encompassing;THX Sout;SCSI New Zealand leading-edge;withdrawal;Regional program;44883;51856;75082;Oman Borders disintermediate;transmit payment;98077;Industrial violet;79490;Wooden;14579;65521;69427;90189;Incredible transitional;programming;exuding;false;2020-09-17T11:06:09;false;64484;35577;7551;74825;RAM ;69596;Ba;true;mission-critical;92798;14427;11311;true;false;false;true;false;23144;87904;SPECIALIST_PRESCRIPTION;MEDICINE;DELETED;true;72438;54147;63080;91826;Facilitator end-to-end;false
10;8474;compressing International United States Minor Outlying Islands;Security GB Savings Account;Ergonomic Wooden Table;Ergonomic;24/7 Jew;Mongolia;B2B card Pitcairn Islands;Stand-alone Czech Republic;3436;31286;17722;Avon;impactful Bacon;29972;microchip Ergonomic discrete;4095;quantify optical Engineer;10264;77970;11820;19939;Internal wireless system;Croatia;capabilit;false;2020-09-18T02:37:25;true;82667;59619;70949;10873;with;13041;po;false;Bedfordshire Ber;6630;4350;36755;true;false;true;false;false;83314;65273;OUTPATIENT_PRESCRIPTION;RADIOPHARMACON;NEW_PRODUCT;true;34446;89562;79474;83883;driver invoice Metal;true
